m5xFAD	WT
ENSMUSG00000051951	1.20525206387044	1.13451048955286
ENSMUSG00000102331	1.43497598278181	2.03822567190853
ENSMUSG00000025902	2.36544728072904	1.8107882033434
ENSMUSG00000102269	2.04119629784016	1.1518140324729
ENSMUSG00000098104	4.4217789818066	4.65037468103526
ENSMUSG00000103922	6.79443804629744	6.53829859838427
ENSMUSG00000033845	2.6745853955873	2.83285557641747
ENSMUSG00000102275	2.93886619420127	2.85581878293062
ENSMUSG00000025903	0.974461201926115	1.07366089552296
ENSMUSG00000033813	3.12191849810455	3.32135178727533
ENSMUSG00000062588	6.11971835352699	5.64769095439816
ENSMUSG00000002459	3.3640384491314	3.30702794815421
ENSMUSG00000033793	2.87960225149208	2.78442290108137
ENSMUSG00000025905	-0.372348571830226	0.353160207695513
ENSMUSG00000033774	1.25719324813133	1.85157079919166
ENSMUSG00000025907	2.38756517290662	1.77814654671868
ENSMUSG00000090031	1.54087139442771	0.882449538766629
ENSMUSG00000103355	4.0477979389403	3.96962179813361
ENSMUSG00000103845	0.959878730334289	1.143998584147
ENSMUSG00000033740	1.28904614439858	1.37269547780213
ENSMUSG00000051285	4.46136624760759	4.10268341592349
ENSMUSG00000048538	2.76309862458513	2.68005121331447
ENSMUSG00000097797	1.50137248128134	1.20615954593928
ENSMUSG00000025909	1.06135135049469	0.293522837108188
ENSMUSG00000061024	4.47265897970997	4.80197135911566
ENSMUSG00000025911	3.05997429999337	3.1505999964481
ENSMUSG00000067879	7.09014058184824	6.73884574714017
ENSMUSG00000025912	0.967107208313166	0.890015994571634
ENSMUSG00000045210	2.65075568580815	2.26619943884393
ENSMUSG00000025915	0.29435440708659	0.605559815292274
ENSMUSG00000046101	0.835978795723065	0.757750903983055
ENSMUSG00000098234	3.42457195835464	3.35091667227918
ENSMUSG00000025917	4.41554822553891	4.76817456197484
ENSMUSG00000056763	0.994666880920338	0.934400005538283
ENSMUSG00000067851	3.00412751248806	2.95050486616773
ENSMUSG00000042501	0.366503730259748	0.283456318989096
ENSMUSG00000100648	3.53832826461754	3.45644479821016
ENSMUSG00000048960	1.750434057154	1.3384645472426
ENSMUSG00000057715	2.55726289146565	2.63272468766165
ENSMUSG00000016918	2.437920037195	0.831792311935864
ENSMUSG00000025938	0.0970734179641077	-0.657635163298526
ENSMUSG00000005886	2.33061463239673	1.82187534122144
ENSMUSG00000025935	3.53912725813512	3.73579842572406
ENSMUSG00000025937	2.42520308150275	1.72156384659757
ENSMUSG00000097711	4.39894187611821	5.21112194335909
ENSMUSG00000025932	1.84290958070938	1.36494482593171
ENSMUSG00000025930	1.47334841530105	1.97527721517924
ENSMUSG00000103492	1.02802454967815	1.21214440349087
ENSMUSG00000081201	7.81234220769549	8.12859802918166
ENSMUSG00000073737	7.53924383982297	7.87591485311009
ENSMUSG00000092083	1.27650221309969	0.52122855451282
ENSMUSG00000025925	2.190147406019	1.86083115084493
ENSMUSG00000043716	5.87357467275374	5.99629770079054
ENSMUSG00000025921	2.83721775018528	2.49558357183248
ENSMUSG00000025920	4.57347772529038	4.6960926076112
ENSMUSG00000025939	3.85987685312342	3.14635612246729
ENSMUSG00000079658	5.73205848606463	5.82254785265842
ENSMUSG00000025940	5.33256775566782	5.3118647546423
ENSMUSG00000091020	4.23394808289539	4.30882594583597
ENSMUSG00000042686	2.65623000983704	2.74742042512389
ENSMUSG00000025777	4.11977322730673	3.96802148721297
ENSMUSG00000101589	3.86938269168039	3.61872840130561
ENSMUSG00000109887	2.45190289497877	1.69570192925176
ENSMUSG00000100720	5.1451087393265	5.710136768472
ENSMUSG00000025927	1.14863744993519	0.0684142832100179
ENSMUSG00000100204	3.54605228500417	3.03571825862565
ENSMUSG00000090142	5.12629090390568	4.17975432311363
ENSMUSG00000041859	1.23172995275251	1.41584980656522
ENSMUSG00000097934	2.97700132308804	2.89511785668066
ENSMUSG00000025931	5.91794102415508	5.39178121999271
ENSMUSG00000041779	1.65604936749487	0.589656835591526
ENSMUSG00000025933	5.0726975043255	5.17218786708981
ENSMUSG00000025934	1.02036567746353	1.20448553127624
ENSMUSG00000096375	5.42959448652868	4.50728655355557
ENSMUSG00000028033	3.88291995653989	3.75981994969742
ENSMUSG00000082935	6.4932771660045	6.82811298268326
ENSMUSG00000041670	4.53609248643237	4.33633634213152
ENSMUSG00000026158	4.55239527495581	4.75452756183322
ENSMUSG00000026156	2.75871367245635	2.92458656415735
ENSMUSG00000026154	5.00226358735033	4.39787512937718
ENSMUSG00000026153	1.94164266885532	0.781287619978873
ENSMUSG00000026141	1.02787282028773	0.273649739867597
ENSMUSG00000099997	4.84852745180772	5.18909812557364
ENSMUSG00000100131	11.5771366335838	11.103517412966
ENSMUSG00000067736	12.6474862724408	12.2340134001129
ENSMUSG00000101939	11.0957188817577	10.909465290976
ENSMUSG00000101111	14.5495461030713	14.281485674971
ENSMUSG00000100862	14.1891232311151	13.8535208791054
ENSMUSG00000102070	15.0510935870172	14.9834819215789
ENSMUSG00000101249	15.7814106294193	15.6777136026622
ENSMUSG00000073725	5.15816577307863	4.88503619613098
ENSMUSG00000033569	2.56939056765692	2.62199903333984
ENSMUSG00000102386	4.10844332982201	3.88817742319036
ENSMUSG00000104516	3.33151977422889	2.44319765777352
ENSMUSG00000086240	5.68040312169187	5.19060805606115
ENSMUSG00000081557	1.82788666513753	1.745949528632
ENSMUSG00000099492	6.58399900023493	6.9469502987077
ENSMUSG00000100261	4.34286887103976	3.78940331619145
ENSMUSG00000048874	3.31710492811881	3.5360925878037
ENSMUSG00000070960	3.21593790256184	3.46863813861945
ENSMUSG00000026058	0.258512934390655	-0.305858629806497
ENSMUSG00000103482	3.28231560656013	2.68820936654467
ENSMUSG00000102865	3.46089018845259	2.20938188113492
ENSMUSG00000091318	2.28092286552516	1.69588986167669
ENSMUSG00000100481	3.77703558838499	3.81184834207654
ENSMUSG00000026134	1.05023368554628	1.75962094832591
ENSMUSG00000004768	3.04053342312137	2.65214057827968
ENSMUSG00000042215	3.51411850687089	3.03852776452258
ENSMUSG00000042197	1.77201063243793	1.80728190075829
ENSMUSG00000081402	4.73665899701468	4.60266534596327
ENSMUSG00000042182	6.15869257535788	5.70302227331718
ENSMUSG00000026131	2.79935987180258	2.31309843518536
ENSMUSG00000103364	2.85846013834282	3.8892272666018
ENSMUSG00000102336	0.493646176428239	0.410598765157587
ENSMUSG00000042111	4.62701944423629	4.61237262559283
ENSMUSG00000026127	2.91985177932602	2.55875295187747
ENSMUSG00000026126	1.28428802522564	1.37447387890345
ENSMUSG00000100280	1.87206566179454	1.78901825052388
ENSMUSG00000045174	4.34256367005686	4.93649415458448
ENSMUSG00000037509	5.80176376587001	5.95770724636791
ENSMUSG00000104002	4.04171248587164	2.85306206586556
ENSMUSG00000037503	7.18223240490711	6.94155029210199
ENSMUSG00000026123	6.019862498887	5.71873482215396
ENSMUSG00000103548	5.93389062196964	5.18635682166974
ENSMUSG00000045216	4.96123957138254	4.57832462141745
ENSMUSG00000037470	3.44304455037937	3.01839077080027
ENSMUSG00000047180	1.93568200999256	1.86203694254668
ENSMUSG00000037447	2.32818547144374	2.00598482626851
ENSMUSG00000010453	4.79284228098164	4.79071143974578
ENSMUSG00000037432	2.94597649411962	2.72524466900216
ENSMUSG00000001143	4.21081030248472	3.70378559828044
ENSMUSG00000037408	2.85497224321131	3.1766715861148
