m5xFAD-A	WT-A	m5xFAD-B	WT-B
ENSMUSG00000051951	1.22858357603495	1.37889433936481	1.18206706902744	0.807743018252296
ENSMUSG00000102331	1.12868586040398	2.28185448731273	1.67684588514568	1.71070316620022
ENSMUSG00000025902	2.90501913262669	1.73168979635606	1.5348625260187	1.89586150371413
ENSMUSG00000102269	2.25534516560209	1.05781055286996	1.8006473267649	1.25159268784075
ENSMUSG00000098104	4.45166718163606	4.28605521628726	4.392065562648	4.97163313878058
ENSMUSG00000103922	6.60015135801618	6.75268964016709	6.95997441585957	6.25389693626045
ENSMUSG00000033845	2.5601111912977	2.59082598501551	2.77581166179096	3.06335074473804
ENSMUSG00000102275	3.21834972330153	2.43680460215758	2.60829422933221	3.21349865710704
ENSMUSG00000025903	0.583049573150088	0.400922883620325	1.27032125770362	1.57614500746238
ENSMUSG00000033813	3.05143636941133	2.6590547154854	3.18599613882593	3.81893647542185
ENSMUSG00000062588	5.7372534294597	5.86286766782537	6.41091800708452	5.36494793706136
ENSMUSG00000002459	2.75367592130582	3.04937360867036	3.77734237285327	3.55057273178484
ENSMUSG00000033793	3.13850259030577	2.39127043994061	2.57625611671605	3.126726751199
ENSMUSG00000025905	-0.360814193890082	0.0439274885708727	-0.384001315868684	0.635214226801448
ENSMUSG00000033774	1.53558103148749	0.754035910343539	0.925525537518173	2.52867646579979
ENSMUSG00000025907	2.28342090194969	1.60591462154623	2.48037224124967	1.95006910422363
ENSMUSG00000090031	1.39555235530259	0.198017742570457	1.66683454826795	1.38872291241522
ENSMUSG00000103355	4.48208523977445	3.88396905865651	3.45604025421695	4.06124468199179
ENSMUSG00000103845	0.65360416220895	1.0583458446699	1.20176418695065	1.23562146800518
ENSMUSG00000033740	1.14354587796965	0.967641203311224	1.41482807093501	1.72065182069376
ENSMUSG00000051285	4.27421179055032	3.98898470549329	4.62117298801844	4.22147398073307
ENSMUSG00000048538	3.04258215368538	2.26103703254143	2.43252665971606	3.0377310874909
ENSMUSG00000097797	0.715752626325806	1.12049430878676	1.98989268287006	1.29776993212204
ENSMUSG00000025909	0.711157364692859	-0.209457805311761	1.33179613505737	0.703140846494094
ENSMUSG00000061024	4.504172288691	4.81237959583975	4.44133587099344	4.79261587966727
ENSMUSG00000025911	3.37883415755942	3.0764342565638	2.66956203491848	3.23083615959317
ENSMUSG00000067879	7.15800472666611	6.46919075287243	7.02046054953075	6.99342964058547
ENSMUSG00000025912	0.986489944624299	0.804363255094536	0.947781597375283	0.981638878429816
ENSMUSG00000045210	2.80089856292932	1.38550872155978	2.4886557708002	2.86335117964191
ENSMUSG00000025915	0.582834360619156	0.147231258696198	-0.0495960116411673	0.988550105466889
ENSMUSG00000046101	0.855361532034198	0.0738164108902453	0.816653184785181	1.26452158073501
ENSMUSG00000098234	3.22337654037636	3.0412498508466	3.59284952495702	3.63253658907717
ENSMUSG00000025917	4.38470574327074	4.85331784060725	4.44410173207909	4.66837183077412
ENSMUSG00000056763	0.703754168820488	0.537117245232885	1.22696248652837	1.27840545302813
ENSMUSG00000067851	2.86134447600717	3.08489902130663	3.12900636815111	2.78550570708732
ENSMUSG00000042501	0.645987259360005	-0.135557861783948	0.0359317653906857	0.641136193165522
ENSMUSG00000100648	3.8178117937178	3.63568510418803	3.20775629974848	3.23004880754464
ENSMUSG00000048960	1.3689443703369	1.42878380377115	2.04090238166468	1.23272045215689
ENSMUSG00000057715	1.96064763007377	1.93413202947731	2.96602083128872	3.15119324373279
ENSMUSG00000016918	2.58866817416157	0.488799208070002	2.27642538203245	1.13769321298016
ENSMUSG00000025938	0.120409125547631	-1.0771254871845	0.0738926185401176	-0.300431432235026
ENSMUSG00000005886	2.45595972924137	1.02746740741553	2.19763329328016	2.38280570572423
