m5xFAD	WT
ENSMUSG00000051951	1.67250413404598	1.59940817184744
ENSMUSG00000102331	1.58904605463622	2.17991719660909
ENSMUSG00000025902	2.69917190539011	2.0922651627974
ENSMUSG00000103922	3.45604231646345	2.76687722560288
ENSMUSG00000033845	3.53372231966229	3.81231043245428
ENSMUSG00000102275	3.35153380158154	2.98925469209085
ENSMUSG00000025903	1.92223395818541	2.04009273871594
ENSMUSG00000033813	4.71139668600277	4.82322088064506
ENSMUSG00000002459	4.18542055611528	3.89846579993038
ENSMUSG00000033793	5.70895102043885	5.43403043028617
ENSMUSG00000025905	-0.21497455430703	0.49084706446736
ENSMUSG00000033774	1.4105876615794	1.98511041350907
ENSMUSG00000025907	3.17745087004442	2.574753954034
ENSMUSG00000090031	1.68877487317169	1.01788585845714
ENSMUSG00000103845	1.11397129326194	1.01137750298899
ENSMUSG00000033740	2.16716014759029	2.00280923020693
ENSMUSG00000051285	4.76502526342246	4.41014513760075
ENSMUSG00000097797	1.84099891876686	1.34308686066269
ENSMUSG00000025909	1.95968056213617	1.2438946575639
ENSMUSG00000061024	4.77238473149848	4.99174739476076
ENSMUSG00000025911	4.4556849043947	4.1436335145755
ENSMUSG00000079671	1.25658114498188	0.567416054121313
ENSMUSG00000067879	7.37608268854015	7.02217480773358
ENSMUSG00000025912	1.11881052967497	0.76043055304719
ENSMUSG00000045210	2.79220894712155	2.50487897457265
ENSMUSG00000025915	1.02135080498324	0.854461653305243
ENSMUSG00000046101	1.20579122799233	1.47421644126872
ENSMUSG00000098234	5.50812749545987	5.69670020719674
ENSMUSG00000025917	6.09890286449931	6.19538490114825
ENSMUSG00000056763	1.98184484648047	1.92973412736319
ENSMUSG00000067851	3.91936542108195	3.56483688466995
ENSMUSG00000042501	0.520372259251094	0.686332775429264
ENSMUSG00000048960	2.2138181982081	1.84392605876713
ENSMUSG00000057715	3.23780049175349	3.27771708853728
ENSMUSG00000016918	3.28378101558095	0.973242045682664
ENSMUSG00000025938	0.413715580665947	-0.523859449063846
ENSMUSG00000005886	2.70849219321549	2.19990814759414
ENSMUSG00000025935	4.1946623406115	4.19760299190677
ENSMUSG00000025937	2.66937025211709	2.01502157007377
ENSMUSG00000025932	2.07396224690954	1.62664870698351
ENSMUSG00000054493	1.45917564057055	1.35658185029759
ENSMUSG00000025930	2.20406404377591	2.53308760307356
ENSMUSG00000103492	1.18211711260581	1.34896386961279
ENSMUSG00000073737	3.55722338248865	3.46907043213346
ENSMUSG00000092083	1.42003559543836	0.870267749468272
ENSMUSG00000025925	2.99524644848064	3.00801232200198
ENSMUSG00000032719	2.09392621539583	2.22188088805087
ENSMUSG00000067795	2.24873852230906	2.1461447320361
ENSMUSG00000043716	8.69198043382842	8.68886447743332
ENSMUSG00000025921	3.35287832434901	3.0837051289014
ENSMUSG00000025920	5.25656276206054	5.18726711550091
ENSMUSG00000025939	4.68569828605983	4.1154659807488
ENSMUSG00000079658	6.41413816892205	6.58386577571167
ENSMUSG00000025940	5.91256995531249	5.9651941787758
ENSMUSG00000042686	2.95125023655782	3.32820028461432
ENSMUSG00000025777	4.36940770765777	4.21114934766621
ENSMUSG00000100053	1.47574507439025	0.786579983529677
ENSMUSG00000025776	1.59681668554213	1.28553770805329
ENSMUSG00000099895	4.22117224730465	3.53200715644408
ENSMUSG00000109887	2.76789624878768	1.82989721174742
ENSMUSG00000025927	1.29747612136984	0.199111418941133
ENSMUSG00000041859	2.37154559085575	2.44185842814375
ENSMUSG00000097934	3.13086985207939	3.03042546061119
ENSMUSG00000025931	6.17482458368162	5.65091993811591
ENSMUSG00000041809	3.13776627246352	3.20015439832459
ENSMUSG00000041779	1.91835726424262	0.727529503900215
ENSMUSG00000025933	6.00474198120353	6.41764049206303
ENSMUSG00000025934	1.43327413113266	1.56650123496781
ENSMUSG00000028033	4.26826931381083	4.16214279876383
ENSMUSG00000041670	4.95446834150431	4.75016682807588
ENSMUSG00000026158	4.85542424157734	5.03273464029102
ENSMUSG00000026156	3.0167831250121	3.39590675292339
ENSMUSG00000026155	4.46564990500235	4.09927831265841
ENSMUSG00000026154	6.09723231434734	6.08868418106482
ENSMUSG00000026153	2.38554442716654	1.83761043539165
ENSMUSG00000026147	1.21002450541592	1.11891257606171
ENSMUSG00000026141	1.6321367504579	0.40808966604386
ENSMUSG00000100131	3.96278106603059	3.38188577832141
ENSMUSG00000067736	5.06048052418799	5.45088841066363
ENSMUSG00000101939	6.73395480220577	6.51608257474911
ENSMUSG00000101111	6.00212952857251	5.76933170032738
ENSMUSG00000100862	5.6830843846777	5.70130077824233
ENSMUSG00000102070	6.45628512147092	6.49275980230597
ENSMUSG00000101249	7.94619157613215	8.20932333120918
ENSMUSG00000073725	5.93012420427111	5.45209694392375
ENSMUSG00000033569	3.60179111637447	3.4867253663618
ENSMUSG00000102386	4.25557720170864	4.02908167443445
ENSMUSG00000104516	3.48169800798205	2.90467990773743
ENSMUSG00000048874	3.51054107340248	3.75204845855078
ENSMUSG00000026058	1.05192312578421	0.321754795312319
ENSMUSG00000103482	3.42795704188864	2.82157848022617
ENSMUSG00000102865	3.4392647096165	2.34007901686603
ENSMUSG00000091318	2.42803163031145	2.02974293372955
ENSMUSG00000026134	2.38245175211394	2.12652256571127
ENSMUSG00000004768	3.35580445956307	2.93387080286464
ENSMUSG00000042215	3.92005659937733	3.44250650148805
ENSMUSG00000042197	2.4839317656814	2.49565104234508
ENSMUSG00000081402	1.93991642378271	2.10292216336508
ENSMUSG00000042182	6.82861579384715	6.32111019516778
ENSMUSG00000026131	3.85406818593314	3.31485083969333
ENSMUSG00000103364	3.00833477592068	4.12679295308404
ENSMUSG00000102336	0.647514705419585	0.544034674317817
ENSMUSG00000042111	5.32722047839	5.30694280139926
ENSMUSG00000026127	3.49446147184309	3.47262185709583
ENSMUSG00000026126	2.42787450202325	2.01800711106551
ENSMUSG00000100280	2.02593419078588	2.19189470696405
ENSMUSG00000045174	4.66940473043099	5.17205408532995
ENSMUSG00000037509	6.56954174048119	6.71494712709611
ENSMUSG00000104002	4.05810758256149	3.34232560684211
ENSMUSG00000037503	7.49419868231179	7.23927839941005
ENSMUSG00000026123	6.48926667470008	6.11380544953044
ENSMUSG00000045216	5.31819597115059	4.77427617762291
ENSMUSG00000037470	3.94809439429327	3.55050675743663
ENSMUSG00000047180	2.08584741406955	2.00112421488394
ENSMUSG00000037447	2.72578290680577	2.29084166485866
ENSMUSG00000010453	5.53211563646001	5.29880090540225
ENSMUSG00000037432	3.23470745600928	2.87456399016538
ENSMUSG00000001143	4.6805233065457	4.2664048541911
ENSMUSG00000037408	3.06882113968226	3.57709397923693
ENSMUSG00000001138	4.47335303750189	3.96883739636716
ENSMUSG00000067653	2.12094864794834	2.02601880237113
ENSMUSG00000079610	3.05462815836125	3.1979558474982
ENSMUSG00000026121	4.3619299578222	3.97954216843525
ENSMUSG00000087589	2.46069694542744	1.96167821148111
ENSMUSG00000061518	9.08768913458174	9.42778079991984
ENSMUSG00000037351	8.36741824565441	8.3226648481383
ENSMUSG00000102416	3.15828303162077	2.06073903854644
ENSMUSG00000026117	2.37714564527197	3.64807016032625
ENSMUSG00000026116	4.08431113926722	4.03450833265684
ENSMUSG00000050122	2.18504798608314	2.49220714559231
ENSMUSG00000026113	4.77653773521267	4.52706028828145
ENSMUSG00000026112	5.43055473608486	5.25361894250109
ENSMUSG00000026111	6.19444662118287	6.62952637627171
ENSMUSG00000026110	2.84478948376797	2.69892308620225
ENSMUSG00000026090	7.56512363294711	7.8148275416024
ENSMUSG00000089767	4.9641468054036	4.30165986437288
ENSMUSG00000060771	1.53695287294974	1.37672265187864
ENSMUSG00000037216	3.24394298033445	3.43486974386917
ENSMUSG00000026088	3.38990125049176	3.51853624412315
ENSMUSG00000026087	5.91662894241704	6.15823878352966
ENSMUSG00000058407	4.02496870646964	3.64589569134098
ENSMUSG00000026083	3.98140400745028	4.03499773268636
ENSMUSG00000026082	2.84833751678386	2.65873371063048
ENSMUSG00000037138	4.14200600896163	3.86553283301516
ENSMUSG00000085391	3.42726285485961	3.32378282375785
ENSMUSG00000048814	5.33110543250323	5.246988138962
ENSMUSG00000026080	4.28323253414715	4.14943275046926
ENSMUSG00000026078	4.48236152738928	4.43547827963677
ENSMUSG00000103046	2.58066648909608	2.97196061640053
ENSMUSG00000026077	4.63882781101216	4.56190500862677
ENSMUSG00000092563	3.82839517548813	4.30976942396506
ENSMUSG00000073702	9.43767210949427	9.703373957067
ENSMUSG00000003134	3.51344959909934	3.14969392566502
ENSMUSG00000003135	5.17959717723726	5.27792419965289
ENSMUSG00000085894	4.07899452533575	3.18036936982755
ENSMUSG00000077704	6.47879315549969	6.37531312439793
ENSMUSG00000048234	4.80103716875457	4.43768768842941
ENSMUSG00000050967	5.59599004603044	5.43661417700673
ENSMUSG00000097083	1.89843330548062	2.17987832234664
ENSMUSG00000057173	2.19743210185931	2.3663515970365
ENSMUSG00000026074	4.82438455300593	4.95312322997973
ENSMUSG00000102985	3.55007972289408	3.26997770332204
ENSMUSG00000097899	3.2270627136592	3.70843696213613
ENSMUSG00000026072	1.98558206504182	2.12744770486483
ENSMUSG00000026065	3.00944217150744	2.15564758200776
ENSMUSG00000026062	3.3156195156444	3.71308613638141
ENSMUSG00000101299	3.16671162506898	3.08500528688786
ENSMUSG00000060424	5.43248769318388	5.16915001403246
ENSMUSG00000093436	2.99610113923062	2.41824149115501
ENSMUSG00000045515	4.94565300244277	4.58513564870102
ENSMUSG00000097063	3.44170962280883	4.26206010188077
ENSMUSG00000099784	2.84436392534198	2.5674916447224
ENSMUSG00000060679	4.35095146748195	4.79674493690012
ENSMUSG00000041907	2.55521380112006	3.16998739444327
ENSMUSG00000070939	4.11884606572064	3.93263471165131
ENSMUSG00000041878	3.23354972855103	2.87127061906034
ENSMUSG00000010290	4.55024441784758	4.5659863604728
ENSMUSG00000008136	6.04352215072364	6.39590684778653
ENSMUSG00000066877	4.69980296787139	4.76195636093475
ENSMUSG00000026051	7.60641148379734	6.29971803528526
ENSMUSG00000100480	4.29637062285828	4.1968124722189
ENSMUSG00000057363	4.45361479755417	4.58988848220111
ENSMUSG00000041763	3.0990422996376	2.5924741603843
ENSMUSG00000026049	3.01590076531107	2.74609031594187
ENSMUSG00000026047	3.18239666501589	3.53764375506872
ENSMUSG00000041684	3.78377816037623	3.624410189018
ENSMUSG00000026048	3.78888433865334	3.79924152462712
ENSMUSG00000056870	1.64147596313667	1.54740925718667
ENSMUSG00000026043	1.46617961104456	0.388305414018923
ENSMUSG00000026042	1.69398439349288	0.785611090048743
ENSMUSG00000025995	3.94086315950245	4.18359865856009
ENSMUSG00000084817	4.22022528360565	4.92604690238004
ENSMUSG00000025993	2.1734698347668	1.7194409926991
ENSMUSG00000041144	-0.0408710706599997	-0.44033921105293
ENSMUSG00000101337	0.883603959658888	0.551374316675876
ENSMUSG00000025986	5.1936614262676	4.03123923994099
ENSMUSG00000100213	3.84327749794351	3.75286336085619
ENSMUSG00000026109	5.11695124296098	5.00939235690011
ENSMUSG00000045954	4.29154993477711	3.18513713880163
ENSMUSG00000026107	2.11157178606285	0.966888624893073
ENSMUSG00000018417	2.04080366351931	2.16040446280785
ENSMUSG00000026104	3.81836240417978	3.06492362736303
ENSMUSG00000026103	5.59322805387152	5.30263494568127
ENSMUSG00000002881	3.71887796797568	3.4464392745537
ENSMUSG00000043015	2.29801500898568	1.5229046719573
ENSMUSG00000041439	4.68400028976577	4.49163731817931
ENSMUSG00000026102	3.50376443179642	3.78749791718851
ENSMUSG00000041426	2.60378015787603	2.30749550037229
ENSMUSG00000043629	2.42674763525959	2.22880713836264
ENSMUSG00000026098	0.637347813496731	1.29187410306525
ENSMUSG00000026097	2.0438606887348	1.64523958967849
ENSMUSG00000026096	2.24015625973028	2.44066974755715
ENSMUSG00000026095	3.04076707681236	2.06252525403886
ENSMUSG00000096141	0.453637081959815	0.210735947244924
ENSMUSG00000026094	2.38675809490855	1.50697850326539
ENSMUSG00000042807	2.1609283979746	1.28102246877722
ENSMUSG00000041303	4.0732023901471	3.76538478191662
ENSMUSG00000073678	1.06294027667082	0.923364176258751
ENSMUSG00000052331	0.935116293785896	0.637147425471333
ENSMUSG00000025982	5.59555504404314	5.16847526830746
ENSMUSG00000025981	3.27058652693391	3.43235288698192
ENSMUSG00000101122	3.29010310819763	3.77147735667456
ENSMUSG00000025980	7.60207007369976	7.366477843346
ENSMUSG00000073676	7.01471670523335	7.40821192936255
ENSMUSG00000025979	5.07358350128609	4.71906780393448
ENSMUSG00000025978	3.91599267364838	4.10001249870449
ENSMUSG00000097649	3.99100423016576	4.17800868502925
ENSMUSG00000046994	0.782416771605501	1.39218224260808
ENSMUSG00000038349	3.01529988761187	2.74140517928545
ENSMUSG00000038331	3.35106129412107	2.433650293698
ENSMUSG00000087022	2.32892808015195	2.67016307400144
