m5xFAD-A	WT-A	m5xFAD-B	WT-B
ENSMUSG00000051951	1.67351937928784	1.53965531410955	1.67163609308334	1.66667132797263
ENSMUSG00000102331	1.26554719733141	2.44261546205747	1.85141078789701	1.83792008690191
ENSMUSG00000025902	3.02263087848638	2.16169687811797	2.28400025583713	2.01946678496389
ENSMUSG00000103922	3.4525787880927	2.67171216044914	3.45957828691508	2.86766604616167
ENSMUSG00000033845	3.51168344040633	3.77103730203518	3.5554090896854	3.8602006492502
ENSMUSG00000102275	3.75918538049206	2.5663401523379	2.78628589689992	3.34071557780873
ENSMUSG00000025903	1.44397486799115	0.978814719096725	2.28082805605414	2.69554804333404
ENSMUSG00000033813	4.60836132214395	4.42865333546896	4.80727552477583	5.15987260181661
ENSMUSG00000002459	4.11775205223556	3.76684541184168	4.24977934506894	4.03262003535605
ENSMUSG00000033793	5.64436661043095	5.34369501528598	5.77106596378591	5.53010910726562
ENSMUSG00000025905	-0.223952856962658	0.191032050991588	-0.20600964830097	0.760175896788866
ENSMUSG00000033774	1.66443808816742	0.883571460523861	1.10351720508589	2.65137613418638
ENSMUSG00000025907	3.12035527385534	2.56258697670973	3.23226360228682	2.59273970201638
ENSMUSG00000090031	1.52039852090494	0.327553292750778	1.83860487235097	1.51368458240264
ENSMUSG00000103845	0.790465499136374	0.588462963236037	1.37632908970197	1.36283838870687
ENSMUSG00000033740	1.85028914605958	1.7238637230614	2.42533486928552	2.25674161372343
ENSMUSG00000051285	4.61057923056228	4.25184258431528	4.90441994788389	4.56851337102257
ENSMUSG00000097797	0.85261396325323	1.26759887120748	2.42123171271562	1.42498685282373
ENSMUSG00000025909	1.3169170395175	0.699730113880769	2.40276035886437	1.67122956983772
ENSMUSG00000061024	4.72738174383773	5.06609076705142	4.81585934377963	4.91247850209369
ENSMUSG00000025911	4.61971976525975	3.73789885897663	4.27125337691035	4.48706397493371
ENSMUSG00000079671	1.25311761661114	0.472250988967577	1.26011711543352	0.6682048746801
ENSMUSG00000067879	7.41868453059049	6.68047317503762	7.33187755689841	7.32886936296478
ENSMUSG00000025912	1.11534700130422	0.951467817515251	1.1223465001266	0.530434259373191
ENSMUSG00000045210	2.83832724652979	1.5538013817512	2.74457045490749	3.12019596682861
ENSMUSG00000025915	1.11716611767618	0.307992233440938	0.919453532319213	1.27949168939789
ENSMUSG00000046101	0.984218588714121	0.203351961070567	1.39765843550604	2.19260792948521
ENSMUSG00000098234	5.75730586948476	5.45967804932816	5.20854868105333	5.91973695765424
ENSMUSG00000025917	6.24852346284837	6.13628767536576	5.93178988364651	6.26053023977239
ENSMUSG00000056763	1.40599869989345	1.71692365935635	2.39187754767933	2.13448116480814
ENSMUSG00000067851	3.66150881188702	3.35574484206982	4.13809467668399	3.76658837831055
ENSMUSG00000042501	0.774844316039932	0.610965132250957	0.213923432958399	0.76835311386721
ENSMUSG00000048960	1.80706403432157	1.96787472339694	2.5303485641072	1.70050960439331
ENSMUSG00000057715	2.75494736799352	2.90134093680327	3.59882139586535	3.60459898670339
ENSMUSG00000016918	3.5844580424672	0.649560182814742	2.90290558994124	1.25974535060298
ENSMUSG00000025938	0.245255291149984	-0.947589937004174	0.563461642596014	-0.173214511533335
ENSMUSG00000005886	2.89237313022835	1.19824716958303	2.49695992175396	2.83621144869483
ENSMUSG00000025935	4.20011997518192	4.58477731268887	4.18923769142126	3.60927021054147
ENSMUSG00000025937	2.76528783880657	1.6248178708552	2.5675752534496	2.34484782760745
ENSMUSG00000025932	1.79927868686988	1.87410257140184	2.30365036321562	1.30910777509623
ENSMUSG00000054493	1.13566984644498	0.933667310544639	1.72153343701057	1.70804273601548
ENSMUSG00000025930	2.20060822191183	2.46751631117855	2.20760772073421	2.60587288392014
ENSMUSG00000103492	0.858611318480236	1.27359622643448	1.44447490904584	1.43098420805074
ENSMUSG00000073737	2.97575890200189	3.82153108301182	3.96806284053702	2.96971025181407
ENSMUSG00000092083	1.35455132867008	0.2243712212845	1.4824821322987	1.34743398538831
ENSMUSG00000025925	3.0730842047393	2.63491490752242	2.913621350595	3.3283413378749
ENSMUSG00000032719	2.09045863699509	1.30959200935153	2.09745813581747	2.81567882384102
ENSMUSG00000067795	1.92523272818348	1.72323019228315	2.51109631874909	2.49760561775399
ENSMUSG00000043716	8.82493253058859	8.77082230336926	8.54400607832257	8.58982897225493
ENSMUSG00000025921	3.22064139315316	3.10901672481129	3.47330992056761	3.06196074172453
ENSMUSG00000025920	5.22029391834868	5.03549579570112	5.29198179316132	5.34027531396891
ENSMUSG00000025939	4.11112739510649	3.87320159165573	5.09641390666282	4.34459339054481
ENSMUSG00000079658	6.50445933768474	6.37046376593988	6.31771670171642	6.79020307898705
