E12	E20
ENSMUSG00000033793	-1.861273348727	-1.73460796880039
ENSMUSG00000025907	-2.00441578425716	-2.32419324912349
ENSMUSG00000033740	-0.635869981778924	-2.02514778758263
ENSMUSG00000051285	-1.0675324988564	-1.42285722617535
ENSMUSG00000045210	-1.86171736874822	-2.26028698255682
ENSMUSG00000093178	9.60738346524858	8.07762118306873
ENSMUSG00000025917	-0.0325604150363432	-0.361889516036733
ENSMUSG00000056763	-2.0770558139371	-3.10867306824979
ENSMUSG00000067851	-1.6458742997796	-1.56739369553309
ENSMUSG00000048960	-2.63035643475341	-3.02892604856201
ENSMUSG00000016918	-1.11621806169213	-2.18604215358658
ENSMUSG00000025938	-1.84071722929324	-2.69059669051709
ENSMUSG00000005886	-1.74937740379206	-3.30007367308755
ENSMUSG00000025935	-0.237338129362815	-0.349465131659151
ENSMUSG00000092083	-2.49917435451598	-2.89770633285482
ENSMUSG00000043716	0.626755951483094	-0.113555847243287
ENSMUSG00000025940	0.802788547785468	0.44742618962146
ENSMUSG00000025777	-1.52711816411546	-1.92568777792406
ENSMUSG00000025776	-0.507998989496695	-1.50744657719905
ENSMUSG00000025927	-0.997300661510707	-1.99674824921307
ENSMUSG00000041859	0.310357976812309	-1.24038041734621
ENSMUSG00000025931	-1.32545299944954	-0.906063037590176
ENSMUSG00000082935	2.19995156567435	2.53156564223808
ENSMUSG00000041670	-1.55094423468626	-0.870517097270632
ENSMUSG00000065405	6.86890664543501	8.0953885130891
ENSMUSG00000026153	-1.08370934810025	-1.64711026157826
ENSMUSG00000100131	2.99022623929842	2.42417837430657
ENSMUSG00000067736	5.51884485973743	6.04800337330497
ENSMUSG00000101939	9.10715787712347	12.3949218768602
ENSMUSG00000101111	4.26374130031428	4.79230290372016
ENSMUSG00000100862	4.03462545723779	3.89740573239628
ENSMUSG00000102070	3.90788086166563	3.8784350153983
ENSMUSG00000101249	3.97794122624034	3.51865834098018
ENSMUSG00000073725	-0.908585332477998	-1.55034507069281
ENSMUSG00000033569	-3.08321958978369	-2.2796110594845
ENSMUSG00000103563	-0.323874846102505	0.0955075206415437
ENSMUSG00000102747	-0.0601042188230529	-1.05955180652541
ENSMUSG00000095256	4.20179400341533	5.00540910245304
ENSMUSG00000048874	-1.22991968751197	-2.51536043846679
ENSMUSG00000026134	-1.1464778549911	-1.54500223650161
ENSMUSG00000042197	-1.23120008878845	-2.05572394762452
ENSMUSG00000026131	-2.24550589069529	-2.41945589911958
ENSMUSG00000026127	-1.67289366619379	-2.0714632800024
ENSMUSG00000037503	0.441862844253226	-0.831661757827018
ENSMUSG00000026123	-1.33088908364953	-1.97268645368957
ENSMUSG00000045216	-1.0468698370161	-1.1590420707739
ENSMUSG00000037470	-1.63753872263829	-2.13229336437725
ENSMUSG00000010453	-0.878442787707922	-1.7282093673275
ENSMUSG00000001143	-1.21278273640723	-1.85453487779371
ENSMUSG00000037408	-1.14089698144938	-0.960359823465136
ENSMUSG00000001138	-0.807801831511679	-2.0152938868405
ENSMUSG00000037351	-0.428897540633347	-0.784222267952291
ENSMUSG00000026116	-1.17805975604618	-2.56737518442881
ENSMUSG00000095944	7.38686079705354	9.06470998822972
ENSMUSG00000026113	-1.95319844206301	-1.6216314558651
ENSMUSG00000026112	-0.960550568461688	-1.07268516674973
ENSMUSG00000060771	-1.74771681472337	-2.38943892209312
ENSMUSG00000026088	-0.0463867379409955	-0.444911119451504
ENSMUSG00000026082	-1.20130352691948	-1.59983550525832
ENSMUSG00000048814	-1.02164215381334	-0.306616808795688
ENSMUSG00000026080	-2.15712867212379	-2.55566065046264
ENSMUSG00000026078	-0.202129621721365	-1.40962167705019
ENSMUSG00000073702	0.933806616101183	-0.0656409716011765
ENSMUSG00000003134	-0.965792223673503	-1.36431660518401
ENSMUSG00000077704	5.3846617551326	5.27857340807697
ENSMUSG00000048234	-0.0813377155952359	-0.193509949353032
ENSMUSG00000026074	-0.0395465938724513	-2.23278033727537
ENSMUSG00000045515	-0.571414489198254	-1.9275760118876
ENSMUSG00000070939	-2.03225538385272	-2.43078736219157
ENSMUSG00000066877	-0.280691592133	-1.13045057492424
ENSMUSG00000057363	-0.926111479440063	-1.32468109324866
ENSMUSG00000100701	2.29917110333127	1.90063912499242
ENSMUSG00000041763	-1.45840361669347	-2.30817019631304
ENSMUSG00000026048	-1.12838586513826	-1.24052046342629
ENSMUSG00000026043	-0.554686208234227	-1.74653569159652
ENSMUSG00000025995	-0.626054751018408	-0.981417109182413
ENSMUSG00000041144	-2.44601130880696	-3.00940565259301
ENSMUSG00000096047	5.5955986772332	6.28697784605567
ENSMUSG00000101262	0.694120779739723	0.789458525705708
ENSMUSG00000025986	-1.4767987387843	-0.852554659001207
ENSMUSG00000100033	0.920165268861204	0.0704062860699644
ENSMUSG00000018417	-0.325832692080638	-1.88341186400315
ENSMUSG00000026103	-2.24457307624713	-2.15539534335012
ENSMUSG00000002881	-0.612087035927495	-0.724259269685287
ENSMUSG00000042807	-2.27104670068018	-2.66957867901903
ENSMUSG00000041303	-0.243566364826723	-1.27515107394047
ENSMUSG00000073678	-1.57410533565919	-2.12101873132615
ENSMUSG00000052331	-2.15854983184543	-3.15799741954779
ENSMUSG00000025982	0.161447153688922	-1.27097791588262
ENSMUSG00000025980	0.2650965316247	-0.376663206590116
ENSMUSG00000073676	1.31503494140292	0.107542886074096
ENSMUSG00000025979	0.0836980552528068	-1.61219188513739
ENSMUSG00000038349	-1.61053163525764	-1.42999447727339
ENSMUSG00000051223	0.342930107087199	-0.460012255705873
ENSMUSG00000026034	-1.1488317736712	-1.71224896052174
ENSMUSG00000026036	-1.08184282172133	-2.28933487705015
ENSMUSG00000026037	-0.523942272163449	-0.92251188597205
ENSMUSG00000026031	-2.23969387405714	-2.63826348786575
ENSMUSG00000026028	-0.608150614129766	-1.80079902660282
ENSMUSG00000026020	-0.699676190153628	-2.40056266154776
ENSMUSG00000077345	8.15740997896729	6.78449242915136
ENSMUSG00000089512	6.83025347699276	5.99738734107723
ENSMUSG00000089093	7.82331981445331	6.62418306959142
ENSMUSG00000067336	-1.80021552024909	-1.92334610250483
ENSMUSG00000041040	-0.993368589287876	-1.31635804441099
ENSMUSG00000073664	-2.77002177744824	-2.89102250927439
ENSMUSG00000026782	-0.755392063117174	-0.99757565496515
ENSMUSG00000026014	-2.3044357656775	-3.04602375562218
ENSMUSG00000101188	3.57588471676006	1.26787004899916
ENSMUSG00000081382	2.59633767031804	1.59689008261568
ENSMUSG00000025969	-2.14230397995731	-2.0156310049553
ENSMUSG00000040865	-2.26640900367426	-2.5973104484658
ENSMUSG00000101599	-1.85745707549759	-2.25598905383643
ENSMUSG00000025968	-1.59192696527614	-1.99045134678665
ENSMUSG00000025967	1.56484675085165	-0.0325345769418277
ENSMUSG00000064612	11.9888771707987	10.0358310644427
ENSMUSG00000027520	-0.420533116566212	-1.42270613004763
ENSMUSG00000025964	-2.73891488070565	-2.85108711446344
ENSMUSG00000025959	-0.957126450877219	-1.71032558510773
ENSMUSG00000025958	-0.816692467557381	-3.11324067253214
ENSMUSG00000084416	2.66919467547479	1.27991686967108
ENSMUSG00000025950	1.12685984197261	-0.447101027350289
ENSMUSG00000025949	-2.19783838621887	-2.95245778802891
ENSMUSG00000015222	-0.525335289921113	-0.138441719115878
ENSMUSG00000026003	0.663087130684179	0.0213650233144307
ENSMUSG00000062209	-1.96029610734462	-2.31565846550863
ENSMUSG00000026196	-0.62577567158478	-1.47557228059772
ENSMUSG00000026193	-0.226050210543782	-1.79496999951602
ENSMUSG00000073652	0.602533936281947	-0.396913651420412
ENSMUSG00000094655	9.95058482551206	8.29300893022445
ENSMUSG00000094050	8.45561519124057	7.76689601278867
ENSMUSG00000093956	8.25158779087966	7.5283942452268
ENSMUSG00000093843	8.70474541474482	7.49214209563004
ENSMUSG00000039354	-0.471487687179884	-0.969137422811887
ENSMUSG00000046330	1.17103183558537	0.171584247883011
ENSMUSG00000026185	0.251946947646438	-0.656770229694772
ENSMUSG00000055322	-2.57740216440806	-2.6895367626961
ENSMUSG00000006304	1.19440758948295	-0.356330804675565
ENSMUSG00000006299	0.26661934733059	-1.12265845847311
ENSMUSG00000026179	-1.83855328288042	-1.41916332102106
ENSMUSG00000033364	-2.33918869547151	-2.15865153748727
ENSMUSG00000026135	-1.63044670789485	-2.83797639042508
ENSMUSG00000033257	-1.65221134343333	-2.50197032622457
ENSMUSG00000033159	-0.827726243033123	-1.46944075357453
