E12A	E12B	E20A	E20B
ENSMUSG00000033793	-1.39132042954036	-2.30566657270877	-2.57236928522047	-1.25564796858192
ENSMUSG00000025907	-1.98327269779169	-2.04442629962649	-1.71618372026076	-3.25346652900897
ENSMUSG00000033740	-0.798937405099839	-0.56940616862747	-1.97998626077996	-2.06913123631712
ENSMUSG00000051285	-1.43395239419838	-0.901885675065714	-1.36534364331449	-1.47872953251797
ENSMUSG00000045210	-1.39176444956158	-2.30611059272999	-2.5728133052417	-2.02976190884864
ENSMUSG00000093178	8.93376868541887	9.97936002784645	8.1805744296256	7.97376755769838
ENSMUSG00000025917	0.399605544757627	-0.445120324794317	-0.094665360257828	-0.657540666249336
ENSMUSG00000056763	-1.82100717416857	-2.30130952772327	-2.76476749597205	-3.51034975710575
ENSMUSG00000067851	-2.20027766539828	-1.37752610795844	-1.68217949772637	-1.47138488347237
ENSMUSG00000048960	-2.16040351556677	-3.07474965873518	-3.34145237124688	-2.79840097485383
ENSMUSG00000016918	-0.595784016011841	-1.66514844016413	-2.12860640841291	-2.2419922976164
ENSMUSG00000025938	-1.07853617133082	-2.73642030069027	-3.00312301320197	-2.46007161680892
ENSMUSG00000005886	-2.07386329060476	-1.60250882639714	-3.25491214628487	-3.34405712182204
ENSMUSG00000025935	-0.360567895673885	-0.192924692538462	0.157530271998027	-1.0375414059237
ENSMUSG00000092083	-2.62240412082705	-2.45476091769162	-3.21023265553969	-2.66718125914664
ENSMUSG00000043716	0.46749347163879	0.697024708111162	0.392371318343233	-0.802700359578491
ENSMUSG00000025940	1.0295513425659	0.60397422473385	0.504939772482317	0.391553883278831
ENSMUSG00000025777	-1.05716524492882	-1.97151138809723	-2.23821410060894	-1.69516270421589
ENSMUSG00000025776	-0.281236194716264	-0.706813312548309	-1.46228505039638	-1.55143002593354
ENSMUSG00000025927	-0.770537866730276	-1.19611498456232	-1.95158672241039	-2.04073169794756
ENSMUSG00000041859	0.404978716856476	0.21536120160895	-1.19521889054354	-1.2843638660807
ENSMUSG00000025931	-1.15601100948833	-1.47713683168927	-0.637912841816412	-1.20078814780792
ENSMUSG00000082935	2.46838574362205	1.9543789939034	2.50020028488572	2.55883519892617
ENSMUSG00000041670	-1.66708361157223	-1.4994404084368	-0.530374593940202	-1.27377384998092
ENSMUSG00000065405	7.45797466359523	6.18088142235489	7.96078983389582	8.20997453002948
ENSMUSG00000026153	-1.65820204421676	-0.835450486776924	-2.24603057892941	-1.26489228262545
ENSMUSG00000100131	2.50363576977068	3.2494255826821	2.00936486475522	2.72103530178854
ENSMUSG00000067736	6.1756009872928	4.67985864767571	6.05719257571499	6.03883701795425
ENSMUSG00000101939	9.33569318298092	8.89406858704499	11.7615534751509	12.8105532709337
ENSMUSG00000101111	4.4816798264534	4.06442821848708	4.83893956845138	4.74685315224312
ENSMUSG00000100862	3.19767060070664	4.43740500463207	4.14847851062888	3.61673321112722
ENSMUSG00000102070	4.33415982953835	3.4680200045	3.22311561709457	4.29840545668728
ENSMUSG00000101249	4.51265948433968	3.38811403652034	4.0672147691164	2.71684901293656
ENSMUSG00000073725	-0.681822537697567	-1.10739965552962	-1.86287139337768	-1.31981999698463
ENSMUSG00000033569	-2.91377759982247	-3.23490342202342	-2.39567943215056	-2.18488481789657
ENSMUSG00000103563	-0.154432856141288	-0.475558678342235	-0.0858241052574016	0.238876905450024
ENSMUSG00000102747	0.166658575957374	-0.258918541874671	-1.01439027972274	-1.10353525525991
ENSMUSG00000095256	4.37123599337654	4.0501101711756	5.50794501100857	4.32645885505695
ENSMUSG00000048874	-1.51416413957606	-1.07388111534315	-2.45792446137954	-2.57131035058302
ENSMUSG00000026134	-1.26970762130217	-1.10206441816674	-1.20109887041828	-1.94668113155198
ENSMUSG00000042197	-0.666625808923204	-1.86238831873517	-2.61653112529112	-1.68418068147711
ENSMUSG00000026131	-3.0665318513303	-1.85431418470499	-3.56080275634575	-1.83005084973093
ENSMUSG00000026127	-1.20294074700715	-2.11728689017557	-2.38398960268727	-1.84093820629422
ENSMUSG00000037503	0.51792721334893	0.369148166984242	-0.56540576226412	-1.12828106825563
ENSMUSG00000026123	-0.685015168974431	-2.01851006386275	-2.28521277637445	-1.74216137998139
ENSMUSG00000045216	-0.576916917829461	-1.49126306099787	-1.10152848791304	-1.21491437711652
ENSMUSG00000037470	-1.79054343796858	-1.56101220149621	-1.86566559126414	-2.42854089725565
ENSMUSG00000010453	-1.45290715529972	-0.630155597859883	-2.04073569001237	-1.49768429361932
ENSMUSG00000001143	-0.986019941626804	-1.41159705945885	-1.51063151171038	-2.25621377284408
ENSMUSG00000037408	-0.971454991488169	-1.29258081368911	-0.90284624060428	-1.01623212980777
ENSMUSG00000001138	-0.789083504357709	-0.850237106192512	-1.97013236003783	-2.05927733557499
ENSMUSG00000037351	-0.795317435975324	-0.263250716842659	-0.726708685091435	-0.84009457429492
ENSMUSG00000026116	-0.922016050226123	-1.40231840378082	-2.52221365762614	-2.6113586331633
ENSMUSG00000095944	8.1489461816817	6.26088037073289	10.0832571788373	4.32645885505695
ENSMUSG00000026113	-2.07643765438458	-1.90879445124916	-2.00782890350069	-1.34754487245868
ENSMUSG00000026112	-1.08378033477276	-0.916137131637338	-1.01517158388887	-1.12855747309236
ENSMUSG00000060771	-2.11413671006535	-1.58206999093268	-2.70196524477799	-2.15891384838494
ENSMUSG00000026088	-0.169616504252065	-0.00197330111663874	-0.101007753368176	-0.846590014501878
ENSMUSG00000026082	-1.32453329323055	-1.15689009009512	-1.91236182794319	-1.36931043155014
ENSMUSG00000048814	-0.595405745515123	-1.44013161506707	-0.0394939187925729	-0.606815623504591
ENSMUSG00000026080	-2.28035843843487	-2.11271523529944	-2.86818697314751	-2.32513557675446
ENSMUSG00000026078	-0.183411294567396	-0.244564896402199	-1.36446015024751	-1.45360512578468
ENSMUSG00000073702	1.16056941088161	0.734992293049565	-0.0204794447985037	-0.10962442033567
ENSMUSG00000003134	-1.08902198998457	-0.92137878684915	-1.02041323910068	-1.76599550023439
ENSMUSG00000077704	5.0779143641273	5.54926882833491	5.34500334165822	5.21358682508573
ENSMUSG00000048234	0.388615203591403	-0.525730939577009	-0.135996366492176	-0.249382255695661
ENSMUSG00000026074	-0.622847274448269	0.264981157705911	-1.89099683072288	-2.63657909185658
ENSMUSG00000045515	-0.0493275977403833	-1.11869202189268	-2.23858727573799	-1.69553587934494
ENSMUSG00000070939	-2.15548515016379	-1.98784194702837	-2.74331368487644	-2.20026228848339
ENSMUSG00000066877	-0.855155959724797	-0.032404402284957	-0.786547208840911	-1.53212946997461
ENSMUSG00000057363	-0.456158560253421	-1.37050470342183	-1.63720741593354	-1.09415601954049
ENSMUSG00000100701	2.1759413370202	2.34358454015562	1.58811280230755	2.1311641987006
ENSMUSG00000041763	-2.03286798428527	-1.21011642684543	-2.62069651899791	-2.07764512260486
ENSMUSG00000026048	-1.25161563144933	-1.0839724283139	-1.18300688056544	-1.29639276976892
ENSMUSG00000026043	-0.169873043176079	-0.930290991803329	-1.92625702609453	-1.60155601538711
ENSMUSG00000025995	-0.399291956237978	-0.824869074070023	-0.92390352632156	-1.03728941552504
ENSMUSG00000041144	-3.02050400492347	-2.19775244748363	-2.50240583725156	-3.69747751517328
ENSMUSG00000096047	6.19622872717888	4.90330271250921	7.13658494088334	4.32645885505695
ENSMUSG00000101262	0.334577522797694	0.866644241930363	0.852675690469606	0.727887284389006
ENSMUSG00000025986	-1.30735674882309	-1.62848257102403	-1.2387479979392	-0.578463966897182
ENSMUSG00000100033	0.345700901269407	1.16845245870924	0.414309652153293	-0.331272608980406
ENSMUSG00000018417	-0.113106809011978	-0.518143640436193	-2.06301212537989	-1.73831111467247
ENSMUSG00000026103	-2.01887265382871	-2.44444977166075	-1.75178367629778	-2.65687011311578
ENSMUSG00000002881	-0.142134116740852	-1.05648025990927	-0.666745686824434	-0.780131576027916
