	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000101939	1260.8083777154163	3.7954489539252174	0.752105636750206	5.0464306720596825	4.501401231239681e-07	8.357601619335007e-05
ENSMUSG00000027438	11.980064768177623	5.789332321454109	2.009576154686494	2.8808723212369522	0.003965762538187292	0.01784716422633794
ENSMUSG00000044349	17.537427763914508	7.751161124374706	2.587132320621285	2.9960435585734975	0.002735073614994511	0.014976526176892579
ENSMUSG00000093656	21.996650785242075	-3.8548450427056187	1.156115423705999	-3.3343081180845044	0.000855118766425844	0.006117814395111218
ENSMUSG00000057359	676.7738732857944	-2.8956664023730037	0.8358233004216714	-3.4644480489023755	0.0005313207539325918	0.004587262516189521
ENSMUSG00000096280	39.2049710702438	-2.731538185041712	0.962166772931574	-2.8389446215432446	0.0045263011539342915	0.018814550318965676
ENSMUSG00000095205	237.6566189419566	-2.322263053249117	0.76713043717295	-3.0272075526128046	0.0024682441902866732	0.013886990040299767
ENSMUSG00000065662	126.80902574010892	3.380475385652785	0.8990648936837687	3.7599904182687522	0.00016991986504832744	0.002235627789568375
ENSMUSG00000094095	10.295308196429492	5.5581035000237895	1.9016164712199837	2.9228309620488213	0.0034686476899526853	0.016947690906172333
ENSMUSG00000094068	35.454687143308206	5.36616862789529	1.1696123745053184	4.587988931089143	4.475363615655161e-06	0.0004985555067839849
ENSMUSG00000094038	17.11354674434818	6.2195633127342385	1.7934896228893273	3.467855756374251	0.000524628809235417	0.004587262516189521
ENSMUSG00000095418	14.912430913816738	3.7574841713277074	1.467860203034339	2.5598378943446325	0.010472099838274084	0.033029277452732535
ENSMUSG00000095342	12.749696981468297	5.780803743705666	1.841183432185529	3.1397217912414694	0.0016910834969263906	0.01077827485027826
ENSMUSG00000096799	17.335802903544145	7.734097539095053	2.5949391048797525	2.9804543484473967	0.0028782113475697606	0.015124186043361855
ENSMUSG00000093997	10.889911753930852	5.639987482643722	1.8921579201092722	2.9807171075435464	0.002875743119142794	0.015124186043361855
ENSMUSG00000096496	15.007586128019696	5.048063867417542	1.5089564595738048	3.3454006147025184	0.0008216379948461731	0.0060307006859149975
ENSMUSG00000093994	10.511510198263853	7.011171953145605	2.6920117378304647	2.6044358776815812	0.009202563903049438	0.030834269033495936
ENSMUSG00000093981	20.011518912300268	7.9410180869346645	2.586935107485548	3.0696626536771476	0.002143006787577401	0.01297450848565883
ENSMUSG00000096913	17.098040667405538	4.683796612254085	1.3401234457790714	3.495048629293395	0.0004739753894353318	0.004327939211729178
ENSMUSG00000095031	19.167452035238384	7.878733645527218	2.594282834420683	3.03696017295916	0.002389770287230616	0.013722701546262402
ENSMUSG00000095491	10.179928914702218	5.44726376174059	1.8691512138394797	2.9142980628898405	0.0035648936028674473	0.017117635662044554
ENSMUSG00000095310	14.636167665192943	7.490349772502354	2.607612417580612	2.872493520126749	0.004072464306755603	0.018002877927483105
ENSMUSG00000095911	19.023936657667907	7.868379939263383	2.581406380670468	3.0480981213115816	0.002302947175723463	0.013418058671990358
ENSMUSG00000094723	15.13416536883534	6.118763541425639	1.8138934357777825	3.373276191829849	0.0007427940456097631	0.005669861444345931
