GeneID	Length	logFC	logCPM	LR	PValue	FDR
ENSMUSG00000094636	79	8.4079794712842	7.49954824223829	35.4062528521359	2.67626333444486e-09	2.55929366566361e-06
ENSMUSG00000096041	79	8.31876050618849	7.41623865016466	35.0217395023089	3.26044773818157e-09	2.55929366566361e-06
ENSMUSG00000093981	79	8.29608040495921	7.39547896849894	34.9265374781869	3.42382383036728e-09	2.55929366566361e-06
ENSMUSG00000093943	79	8.24876663476538	7.35233223049859	34.7317069209834	3.78417843546163e-09	2.55929366566361e-06
ENSMUSG00000095031	79	8.23304230458	7.33743223528843	34.6679783581895	3.9101071657639e-09	2.55929366566361e-06
ENSMUSG00000096090	79	8.22856918324665	7.33367450828908	34.6501129342512	3.94615676880103e-09	2.55929366566361e-06
ENSMUSG00000095911	79	8.22767343514306	7.33292224093914	34.6465423976665	3.95340135725112e-09	2.55929366566361e-06
ENSMUSG00000094587	79	8.13909877747383	7.25177058422375	34.30221960678	4.71843326073594e-09	2.55929366566361e-06
ENSMUSG00000096648	79	8.11344528126848	7.22856036907917	34.2071235362839	4.95472509588176e-09	2.55929366566361e-06
ENSMUSG00000044349	8527	8.1124891951912	7.22776329932473	34.2036682951634	4.9635301863628e-09	2.55929366566361e-06
ENSMUSG00000096799	79	8.09218616862389	7.20901868972163	34.1298106814717	5.1555369566213e-09	2.55929366566361e-06
ENSMUSG00000094903	79	8.09025021318325	7.20740667681008	34.122975904514	5.17367695708049e-09	2.55929366566361e-06
ENSMUSG00000096447	79	8.0705931873785	7.18919922967358	34.0529485731628	5.36325747931168e-09	2.55929366566361e-06
ENSMUSG00000096028	79	8.04070787849312	7.16249333767199	33.9501913212044	5.65411256419292e-09	2.55929366566361e-06
ENSMUSG00000094538	79	7.96516021503584	7.094147248701	33.4572090197155	7.28492523397934e-09	3.07763808051514e-06
ENSMUSG00000094922	79	7.88870151210592	7.02509311759911	32.6368671334462	1.11087484376335e-08	4.39975867808021e-06
ENSMUSG00000095310	79	7.85379637347046	6.99439265981364	32.2713875635929	1.34073147918067e-08	4.99777375503994e-06
ENSMUSG00000094308	79	7.83047673732946	6.97316733052942	32.0205052155291	1.52553776585516e-08	5.3707404567912e-06
ENSMUSG00000094442	79	6.50979731997268	7.77758234231311	30.9015952404639	2.71448560116391e-08	9.05352381819775e-06
